Filename	all_missing_attributes	all_missing_objects	all_missing_triplets	all_wrong_values	missing_attribute_with_name_action	missing_attribute_with_name_color	missing_attribute_with_name_count	missing_attribute_with_name_facial expression	missing_attribute_with_name_hairstyle	missing_attribute_with_name_pattern	missing_attribute_with_name_state	missing_obj_with_tag_animal	missing_obj_with_tag_background	missing_obj_with_tag_clothing	missing_obj_with_tag_environment	missing_obj_with_tag_group	missing_obj_with_tag_item	missing_obj_with_tag_person	missing_triplet_with_predicate_catching	missing_triplet_with_predicate_chasing	missing_triplet_with_predicate_climbing	missing_triplet_with_predicate_falling into	missing_triplet_with_predicate_following	missing_triplet_with_predicate_has child object	missing_triplet_with_predicate_has parent object	missing_triplet_with_predicate_holding	missing_triplet_with_predicate_jumping from	missing_triplet_with_predicate_playing with	missing_triplet_with_predicate_reading	missing_triplet_with_predicate_running away from	missing_triplet_with_predicate_sitting on	missing_triplet_with_predicate_sitting under	missing_triplet_with_predicate_swimming in	missing_triplet_with_predicate_throwing	missing_triplet_with_predicate_watching	missing_triplet_with_predicate_wearing	wrong_value_of_attribute_action	wrong_value_of_attribute_color	wrong_value_of_attribute_count	wrong_value_of_attribute_facial expression	wrong_value_of_attribute_hairstyle	wrong_value_of_attribute_pattern	wrong_value_of_attribute_state
P9	82	155	217	2	7,5	59	10	1	2	2	0,5	32	7	36	15	21	42	30	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	2	0	0	0	0
N9	79,5	131	213	0	5,5	59	10	0,5	2	2	0,5	36	9	36	13	25	30	16	4	0	2	5	10	70	70	2	2	6	0	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N28	74,5	129,5	213	2,8	6	54	10	1	2	1	0,5	36	8	27	10,5	21	36	20	4	2	2	5	10	70	70	2	0	6	2	2	6	2	2	2	2	24	0	0,8	2	0	0	0	0
N18	81	128,5	215	2	5	61	10	0,5	2	2	0,5	28	8	36	17	12	42	5,5	4	0	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	2	0	0	0	0
N5	78,5	133	213	0	4,5	59	10	1	2	2	0	40	13	36	14	30	30	10	4	0	2	5	10	70	70	2	2	6	2	2	8	2	0	2	2	24	0	0	0	0	0	0	0
N30	74,5	92	211	0	5	54,5	10	0,5	2	2	0,5	14,5	9	36	10	25	21	10,5	4	0	2	5	10	70	70	2	2	6	0	2	6	2	2	2	2	24	0	0	0	0	0	0	0
N4	78,5	130	217	0	6	57	10	1	2	2	0,5	32	4	36	12	21	30	20	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N1	77,5	112	206	2	4,5	60	10	0,5	1	1	0,5	48	15	24	16	16	21	0	4	2	2	0	10	70	70	2	2	6	0	2	8	2	2	2	2	20	0	0	2	0	0	0	0
P24	79,5	164	217	0	5,5	59	10	0,5	2	2	0,5	48	13	36	14	25	42	21	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N27	75,5	99,5	206	0,5	5,5	56	10	0,5	2	1	0,5	36	9	21	10	24	27	5,5	4	2	2	0	10	70	70	2	2	6	2	2	6	2	2	2	2	20	0	0,5	0	0	0	0	0
P6	82	150	217	0	7,5	59	10	1	2	2	0,5	40	13	33	15	30	39	20	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P18	82	157	215	0	7,5	59	10	1	2	2	0,5	36	14	36	15	26	42	25	4	2	2	5	10	70	70	2	2	6	0	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P4	79,5	131	215	0	5,5	59	10	0,5	2	2	0,5	28	6	36	14	22	27	26	4	0	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N3	79	145,5	213	0	5,5	59	10	0,5	2	2	0	36	10	36	13,5	26	39	21	4	0	2	5	10	70	70	2	2	6	2	2	6	2	2	2	2	24	0	0	0	0	0	0	0
N25	78	145,5	217	0	7,5	56,5	8,5	1	2	2	0,5	40	9	36	11,5	23,5	33	25	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P8	79	161	217	0	5,5	59	10	0,5	2	2	0	40	10	36	14	30	45	26	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P20	79,5	190	217	0	5,5	59	10	0,5	2	2	0,5	60	13	36	15	30	45	31	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P14	81	164,5	217	0	5	61	10	0,5	2	2	0,5	48	15	36	18	25	39	20,5	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N17	79	118,5	208	0	6	58	10	1	2	2	0	28	6	36	10,5	11	39	5	4	0	2	0	10	70	70	2	2	6	2	2	6	2	2	2	2	24	0	0	0	0	0	0	0
N12	76,5	130	217	2	5,5	56	10	0,5	2	2	0,5	40	9	28	11	24	30	21	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	2	0	0	0	0
N24	80,5	128	209	0	7,5	58	10	1	2	2	0	36	10	36	12	25	24	20	4	0	2	5	10	70	70	2	0	6	0	2	8	2	2	0	2	24	0	0	0	0	0	0	0
P19	80,5	145	217	0	6	59	10	1	2	2	0,5	40	14	36	15	30	36	15	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P22	80,5	141	215	0	6	59	10	1	2	2	0,5	28	6	36	15	17	42	20	4	0	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N6	78	134,5	215	0	5	58	10	0,5	2	2	0,5	36	9	33	12	21	33	20,5	4	0	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P3	79	142,5	215	0	4,5	59	10	1	2	2	0,5	40	12,5	36	13,5	25	30	20	4	2	0	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P11	78,5	170	217	0	5,5	58	10	0,5	2	2	0,5	48	14	36	13	30	39	31	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
P2	81,5	167	215	0	5,5	61	10	0,5	2	2	0,5	48	11	36	17	25	45	21	4	0	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N10	77,5	129,5	210	0	5	58	10	0,5	2	2	0	32	5	36	10	16	36	15,5	4	2	2	0	10	70	70	2	2	6	0	2	8	2	2	2	2	24	0	0	0	0	0	0	0
N15	80,5	155	217	0	6	59	10	1	2	2	0,5	36	13	36	13	21	42	25	4	2	2	5	10	70	70	2	2	6	2	2	8	2	2	2	2	24	0	0	0	0	0	0	0
